contribution_id,article,thread,username,timestamp,thread_type,text,editor_score
4095,33550336 (number),The first two lines in disagreement.,CRGreathouse,2006-09-03 19:04:11,POST,"A number always divides itself, but a number's proper divisors don't include itself.  Thus if \sigma(n)=2n (where sigma is the number of divisors) the proper divisors are equal to n (since 2n-n=n).  Don't worry, it's easy to get confused here with the terminology, even though it's not actually difficult when you get past that. CRGreathouse (t | c) 01:04, 4 September 2006 (UTC)",0.3429781227946366
4103,33550336 (number),The first two lines in disagreement.,CRGreathouse,2007-01-01 16:35:18,POST,"You know I don't discuss with you. Your comments are not welcome. 69.158.101.116 21:47, 1 January 2007 (UTC)
: Anon, please see Wikipedia:Etiquette and WP:NPA.  Arthur Rubin made valid points, and you have yet to respond to them.  Your notation is non-standard and any proof you present is OR -- and much as I'd like to see a proof, this isn't the place.  Now if you put this in your userspace instead of here, it might be better-received, but unless you do that or get a paper published this just isn't the place.  I do wish you luck with your proof, though. CRGreathouse (t | c) 22:35, 1 January 2007 (UTC)",0.3429781227946366
4104,33550336 (number),The first two lines in disagreement.,CRGreathouse,2011-03-09 20:20:41,POST,"I wonder if there is a published source for the second ""equivalent"" definition, documenting its relevance for being adduced by WP. If not, I would suggest to remove it from this article. --88.78.159.212 (talk) 07:47, 9 March 2011 (UTC)
:I have now checked it myself and have found it, among others, in B. W. Jones, The theoriy of numbers, 1961, p.57 [ ], and M. J. Bradley, The age of genius, 2006, p.53 [ ]. The latter seems to suggest that it can be found in Fermat. --88.78.159.212 (talk) 08:26, 9 March 2011 (UTC)
:: They're quite standard; any basic number theory text should have it.  Also see the OEIS, MathWorld, etc. CRGreathouse (t | c) 02:20, 10 March 2011 (UTC)",0.3429781227946366
4096,33550336 (number),The first two lines in disagreement.,JoshuaZ,2006-09-29 15:39:24,POST,"It is said if an odd perfect number exists, it is of the form N=P4n+1Q2, where P=4m+1 is a prime and Q is a distinct odd prime. Suppose such N is perfect, then 2=[(1+P+P2+...+P4n+1)(1+Q+Q2)]/(P4n+1Q2)",0.2672413793103448
4098,33550336 (number),The first two lines in disagreement.,Arthur Rubin,2007-01-01 08:55:36,POST,:(1)   2X(X2)2xY2yZ2z=(1+X)σ[(X2)2xY2yZ2z]; and,0.6807935076645627
4100,33550336 (number),The first two lines in disagreement.,Arthur Rubin,2007-01-01 08:55:36,POST,"Suppose X is 1 mod 4. The LHS of (1) is 2 mod 4. Since 1+X on the RHS of (1) is 2 mod 4, σ[…] on the RHS od (1) is 1 mod 4. Now, the LHS of (2) is 1 mod 4. In order for (1+X)/2 on the RHS of (2) to be 1 mod 4, X is 1 mod 8.
With X being 1 mod 8, the LHS of (1) is 2 mod 8. Since 1+X on the RHS of (1) is 2 mod 8, σ[…] is 1 mod 8. Now, the LHS of (2) is 1 mod 8. X is 1 mod 16 so that (1+X)/2 is 1 mod 8.
That X is 1 mod 16 is more restrictive than X is 1 mod 4.
Also, if an OPN exists, the following necessary bounds must be satisfied, with X=16k+1:
:[(1+X+X2+…+X5)/X5] [(1+Y+Y2)/Y2] [(1+Z+Z2)/Z2] ……
errors results.  That is uncivil.",0.6807935076645627
4101,33550336 (number),The first two lines in disagreement.,Arthur Rubin,2011-02-18 12:23:54,POST,::#Using σ[(X2)2x] to indicate 1 + X2 + ... + X24x.  That's just wrong.,0.6807935076645627
4102,33550336 (number),The first two lines in disagreement.,Arthur Rubin,2007-01-01 08:55:36,POST,"::#Trying to prove there are no odd perfect numbers in this forum.  That would be [WP:OR]], even if you knew what you were doing.
::— Arthur Rubin |  (talk) 14:55, 1 January 2007 (UTC)",0.6807935076645627
6395,Acharya S,Delete actual name,RL0919,2013-11-20 04:52:07,THREAD_STARTER,"Acharya S responded on her Facebook page that due to her occupation she feels duress from stalkers knowing her ""actual name."" Per WP:BLPNAME: When the name of a private individual has not been widely disseminated or has been intentionally concealed, such as in certain court cases or occupations, it is often preferable to omit it, especially when doing so does not result in a significant loss of context. I ask that we remove the name. Raquel Baranow (talk) 16:29, 19 November 2013 (UTC)",0.7060744611365121
6397,Acharya S,Delete actual name,RL0919,2013-11-20 04:52:07,POST,":::To clarify, what she claims on Facebook is that the name given is not correct, but people who think it is her name use it in an attempt to intimidate her because they know she has been stalked in the past. The factual denial seems more relevant than the stalking concern. --RL0919 (talk) 10:52, 20 November 2013 (UTC)",0.7060744611365121
